id,name,parent_album,place_in_tracklist,featuring,parent_artist
662,Turn It Up,53,9,,3
663,Ur Baby,53,10,Khalid,3
664,Girl from Rio,53,11,,3
665,Faking Love,53,12,Saweetie,3
666,Que Rabão,53,13,"YG, Papatinho, MC Kevin o Chris, Mr. Catra",3
667,Me Gusta,53,14,"Cardi B, Myke Towers",3
668,"Love Me, Love Me",53,15,,3
669,Crash,54,1,,10
670,New Shapes,54,2,"Caroline Polachek, Christine and the Queens",10
671,Good Ones,54,3,,10
672,Constant Repeat,54,4,,10
673,Beg for You,54,5,Rina Sawayama,10
674,Move Me,54,6,,10
675,Baby,54,7,,10
676,Lightning,54,8,,10
677,Every Rule,54,9,,10
678,Yuck,54,10,,10
679,Used To Know Me,54,11,,10
680,Twice,54,12,,10
681,Intere$$eira,55,1,,24
682,VIP *-*,55,2,6lack,24
683,Modo Turbo,55,3,"Pabllo Vittar, Anitta",24
684,Café da Manhã ;P,55,4,Ludmilla,24
685,2000 s2,55,5,,24
686,Anaconda *o* ~~~,55,6,Mariah Angeliq,24
687,Mulher do Ano XD,55,7,,24
688,Melhor Sozinha :-)-:,55,8,,24
689,Fugitivos :),55,9,Jão,24
690,Penhasco.,55,10,,24
691,Caos / Flor ***,55,11,,24
692,O Conto dos Dois Mundos (Hipocrisia),55,12,,24
693,Também Não Sei de Nada :D,55,13,Lulu Santos,24
694,Sparks,56,1,,13
695,My Kind,56,2,,13
696,One in a Million,56,3,,13
697,Confetti,56,4,,13
698,Breathe In. Breathe Out.,56,5,,13
699,Lies,56,6,,13
700,Arms Around a Memory,56,7,,13
701,Stay in Love,56,8,,13
702,Brave Heart,56,9,,13
703,Tattoo,56,10,,13
704,Picture This,56,11,,13
705,Night Like This,56,12,Kendall Schmidt,13
706,Break Up Song,57,1,,23
707,Holiday,57,2,,23
708,Sweet Melody,57,3,,23
709,Confetti,57,4,,23
710,Happiness,57,5,,23
711,Not a Pop Song,57,6,,23
712,Nothing But My Feelings,57,7,,23
713,Gloves Up,57,8,,23
714,A Mess (Happy 4 U),57,9,,23
715,My Love Won't Let You Down,57,10,,23
716,Rendezvous,57,11,,23
717,If You Want My Love,57,12,,23
718,Breathe,57,13,,23
719,Brutal,58,1,,29
720,Traitor,58,2,,29
721,Drivers License,58,3,,29
722,"1 Step Forward, 3 Steps Back",58,4,,29
723,Deja Vu,58,5,,29
724,Good 4 U,58,6,,29
725,Enough for You,58,7,,29
726,Happier,58,8,,29
727,"Jealousy, Jealousy",58,9,,29
728,Favorite Crime,58,10,,29
729,Hope Ur OK,58,11,,29
730,Happy,59,1,,27
731,Froot,59,2,,27
732,I'm a Ruin,59,3,,27
733,Blue,59,4,,27
734,Forget,59,5,,27
735,Gold,59,6,,27
736,Can't Pin Me Down,59,7,,27
737,Solitaire,59,8,,27
738,Better Than That,59,9,,27
739,Weeds,59,10,,27
740,Savages,59,11,,27
741,Immortal,59,12,,27
742,Love On Top,60,1,,5
743,Party,60,2,André 3000,5
744,Schoolin' Life,60,3,,5
745,Countdown,60,4,,5
746,I Miss You,60,5,,5
747,Dance For You,60,6,,5
748,I Care,60,7,,5
749,Rather Die Young,60,8,,5
750,1+1,60,9,,5
751,End Of Time,60,10,,5
752,Run The World (Girls),60,11,,5
753,Best Thing I Never Had,60,12,,5
754,Start Over,60,13,,5
755,I Was Here,60,14,,5
756,Living for Love,61,1,,25
757,Devil Pray,61,2,,25
758,Ghosttown,61,3,,25
759,Unapologetic Bitch,61,4,,25
760,Illuminati,61,5,,25
761,Bitch I'm Madonna,61,6,Nicki Minaj,25
762,Hold Tight,61,7,,25
763,Joan of Arc,61,8,,25
764,Iconic,61,9,"Chance the Rapper, Mike Tyson",25
765,HeartBreakCity,61,10,,25
766,Body Shop,61,11,,25
767,Holy Water,61,12,,25
768,Inside Out,61,13,,25
769,Wash All Over Me,61,14,,25
770,Best Night,61,15,,25
771,Veni Vidi Vici,61,16,Nas,25
772,S.E.X.,61,17,,25
773,Messiah,61,18,,25
774,Rebel Heart,61,19,,25
775,Emails I Can't Send,62,1,,34
776,Vicious,62,2,,34
777,Read Your Mind,62,3,,34
778,Tornado Warnings,62,4,,34
779,Because I Liked a Boy,62,5,,34
780,Already Over,62,6,,34
781,How Many Things,62,7,,34
782,Bet U Wanna,62,8,,34
783,Nonsense,62,9,,34
784,Fast Times,62,10,,34
785,Skinny Dipping,62,11,,34
786,Bad for Business,62,12,,34
787,Decode,62,13,,34
788,Pink Venom,63,1,,7
789,Shut Down,63,2,,7
790,Typa Girl,63,3,,7
791,Yeah Yeah Yeah,63,4,,7
792,Hard to Love,63,5,,7
793,The Happiest Girl,63,6,,7
794,Tally,63,7,,7
795,Ready for Love,63,8,,7
796,I'm That Girl,64,1,,5
797,Cozy,64,2,,5
798,Alien Superstar,64,3,,5
799,Cuff It,64,4,,5
800,Energy,64,5,Beam,5
801,Break My Soul,64,6,,5
802,Church Girl,64,7,,5
